epoch,accuracy,loss,val_accuracy,val_loss
0,0.34166666865348816,1.5685653686523438,0.42916667461395264,1.0811114311218262
1,0.33125001192092896,1.1045432090759277,0.42916667461395264,1.0801433324813843
2,0.3760416805744171,1.1187691688537598,0.42916667461395264,1.0837655067443848
3,0.3552083373069763,1.0923347473144531,0.4375,1.0730527639389038
4,0.4124999940395355,1.080670714378357,0.42916667461395264,1.075742244720459
5,0.4270833432674408,1.0737473964691162,0.4208333194255829,1.0827995538711548
6,0.3968749940395355,1.0760725736618042,0.4333333373069763,1.0715816020965576
7,0.4322916567325592,1.0522141456604004,0.40833333134651184,1.0752339363098145
8,0.43020832538604736,1.0688432455062866,0.4416666626930237,1.085012674331665
9,0.4260416626930237,1.066514492034912,0.4166666567325592,1.06891930103302
10,0.4166666567325592,1.0633965730667114,0.4583333432674408,1.0642260313034058
11,0.41354167461395264,1.069232702255249,0.4416666626930237,1.0673846006393433
12,0.34166666865348816,1.143828272819519,0.40833333134651184,1.0918796062469482
13,0.37708333134651184,1.1035703420639038,0.3791666626930237,1.0872840881347656
14,0.3687500059604645,1.0935760736465454,0.44583332538604736,1.0821006298065186
15,0.3656249940395355,1.0916475057601929,0.4375,1.080365777015686
16,0.3947916626930237,1.094297170639038,0.4416666626930237,1.0740209817886353
17,0.4052083194255829,1.0777523517608643,0.42916667461395264,1.0712531805038452
18,0.375,1.0872918367385864,0.44583332538604736,1.0733166933059692
19,0.4364583194255829,1.0629338026046753,0.4416666626930237,1.067726731300354
20,0.40833333134651184,1.069700002670288,0.4416666626930237,1.062201738357544
21,0.40937501192092896,1.0774246454238892,0.42916667461395264,1.0907269716262817
22,0.4312500059604645,1.060333013534546,0.44583332538604736,1.0842472314834595
23,0.42500001192092896,1.0610110759735107,0.44583332538604736,1.086442232131958
24,0.4124999940395355,1.0781105756759644,0.40833333134651184,1.0566909313201904
25,0.4177083373069763,1.064021348953247,0.4416666626930237,1.0685075521469116
26,0.43958333134651184,1.053855299949646,0.4166666567325592,1.156638503074646
27,0.4229166805744171,1.0772846937179565,0.42500001192092896,1.0551717281341553
28,0.4364583194255829,1.0658107995986938,0.4166666567325592,1.0532475709915161
29,0.41979166865348816,1.0664421319961548,0.4541666805744171,1.0683232545852661
30,0.4489583373069763,1.0646365880966187,0.4541666805744171,1.0831170082092285
31,0.4364583194255829,1.0473028421401978,0.4375,1.06148362159729
32,0.4281249940395355,1.063011884689331,0.42500001192092896,1.082059383392334
33,0.4520833194255829,1.049742341041565,0.4375,1.1491773128509521
34,0.4333333373069763,1.0609965324401855,0.4333333373069763,1.084749698638916
35,0.4124999940395355,1.0599769353866577,0.46666666865348816,1.073833703994751
36,0.4364583194255829,1.0504356622695923,0.4541666805744171,1.0595479011535645
37,0.45104166865348816,1.0611556768417358,0.4000000059604645,1.0656152963638306
38,0.41874998807907104,1.0605159997940063,0.4208333194255829,1.067332148551941
